y_value,true_dlate,kan_estimate,kan_bias,kan_rmse,kan_std,kan_se_mean,kan_ci_lower_mean,kan_ci_upper_mean,kan_coverage,rf_estimate,rf_bias,rf_rmse,rf_std,rf_se_mean,rf_ci_lower_mean,rf_ci_upper_mean,rf_coverage,p_value_rmse_diff,p_corrected_rmse_diff,kan_significantly_better
-8.0,-6.830601092896175e-06,0.287720684677462,0.2877275152785549,0.295274949061415,0.06632892472004927,0.08231417511086477,0.1263849014601671,0.4490564678947572,0.03,-1.8843042476820627e-05,-1.2012441383924452e-05,0.00016988157522357793,0.0002658138252741381,2.0430220132422117e-05,-5.888627393636797e-05,2.1200188982726725e-05,1.0,1.0,1.0,False
-7.206896551724138,-2.7322890374308547e-05,0.2876782690909264,0.28770559198130075,0.29523838105460765,0.0662512592278807,0.0823126803615868,0.12634541558221635,0.44901112259963694,0.03,-0.00012883948093444662,-0.00010151659056013807,0.0008642693700532594,0.0010226254302955916,9.56441321034851e-05,-0.0003163019798572774,5.862301798838418e-05,1.0,1.0,1.0,False
-6.413793103448276,-9.393479547547705e-05,0.28745497628589245,0.287548911081368,0.2951093838880877,0.06637942007612321,0.0823152624067962,0.1261170619685719,0.4487928906032132,0.03,-0.00020835717626786925,-0.00011442238079239223,0.0014836364430489755,0.0017333635020407385,0.00040243000020299925,-0.0009971199766657477,0.0005804056241300093,1.0,1.0,1.0,False
-5.620689655172414,-0.00044517749208735713,0.286709363163115,0.28715454065520235,0.29472745259414845,0.06639688918159874,0.08233448098095872,0.12533378044043603,0.448084945885794,0.03,-0.0006697674583387299,-0.00022458996625137318,0.004895913882779275,0.00533517466237951,0.002045035598506227,-0.004678037231410936,0.003338502314733475,0.965,1.0,1.0,False
-4.827586206896552,-0.0024443075123943923,0.2813880241432972,0.2838323316556916,0.2915211064157858,0.06653390519352811,0.08242311777625322,0.11983871330184083,0.44293733498475363,0.04,-0.004583341630543409,-0.0021390341181490168,0.010972688571008592,0.01148865755097102,0.007659296857897394,-0.019595563472022303,0.010428880210935486,0.97,1.0,1.0,False
-4.0344827586206895,-0.009109719564218546,0.26490077004343154,0.2740104896076499,0.28211848124260214,0.06735151483233977,0.08271025467816993,0.10278867087421832,0.42701286921264464,0.045,-0.013601170742614568,-0.00449145117839601,0.019315292744917896,0.019810143304754158,0.017542776830335456,-0.047985013330072046,0.020782671844842934,0.96,1.0,1.0,False
-3.2413793103448274,-0.02721330108639147,0.2247052112543785,0.2519185123407699,0.26112539681264685,0.06958138692680685,0.0832886849830782,0.06145938868754519,0.3879510338212115,0.09,-0.03580380757827988,-0.008590506491888408,0.029376823723611126,0.030086599528134958,0.029823011203034048,-0.09425690953622659,0.022649294379666847,0.935,1.0,1.0,False
-2.4482758620689653,-0.06799393452327893,0.141274730361917,0.2092686648851959,0.2201064395243901,0.06966509984452608,0.08400622480782954,-0.023377470261428907,0.30592693098526286,0.25,-0.09039960737757204,-0.022405672854293103,0.04401024182528184,0.04227562909976349,0.042575025454180626,-0.17384665726776619,-0.00695255748737795,0.935,1.0,1.0,False
-1.6551724137931032,-0.13930110493156506,0.010549569538001367,0.1498506744695665,0.1646966044444763,0.06899649968253996,0.08408237778074992,-0.15425189091226854,0.1753510299882712,0.585,-0.18352306917127234,-0.04422196423970722,0.06592591388399738,0.05275076083418157,0.054737492162305,-0.2908085538093902,-0.07623758453315455,0.91,1.0,1.0,False
-0.8620689655172411,-0.24756518516252465,-0.1605760855025075,0.08698909966001703,0.10927464286263115,0.06510631937219405,0.0821097779670684,-0.32151125031796146,0.0003590793129466317,0.89,-0.31235729694246456,-0.06479211177994022,0.08450034457654994,0.05845600820861552,0.06256401849402772,-0.4349827731907587,-0.18973182069417,0.87,0.9995699803659885,1.0,False
-0.068965517241379,-0.3843611365734719,-0.34309056654647674,0.0412705700269955,0.07823508557686336,0.06567284313337055,0.07720882987211199,-0.49441987309581586,-0.1917612599971371,0.95,-0.4753010128677274,-0.09093987629425576,0.10906061504338911,0.06350787061528995,0.06505136761961575,-0.6028016934021747,-0.3478003323332809,0.74,2.0408794181753001e-07,7.653297818157376e-07,True
0.724137931034484,-0.5333001144148856,-0.5135283581638883,0.019771756250996784,0.06567823004210645,0.06059681926367522,0.06951104648476819,-0.6497700092740343,-0.3772867070537427,0.965,-0.634852341138984,-0.1015522267240991,0.11401163700878117,0.054701242832575665,0.061649626802002526,-0.7556856096709089,-0.5140190726070596,0.685,8.828840596892279e-21,5.297304358135367e-20,True
1.5172413793103452,-0.6748444494447305,-0.6420357491371598,0.0328087003075708,0.06381341415912811,0.05215436781465235,0.061137969719931025,-0.7618661697882247,-0.5222053284860951,0.945,-0.7665340465636092,-0.09168959711887875,0.10372014822902823,0.05067818618720541,0.053285423819422945,-0.8709734772496787,-0.6620946158775404,0.595,1.139001186965663e-16,4.88143365842427e-16,True
2.3103448275862064,-0.7889837357968248,-0.7313262859656123,0.057657449831211904,0.07567071811512163,0.04646291056183613,0.05367178709226871,-0.8365229886664589,-0.6261295832647652,0.86,-0.8576455129995169,-0.0686617772026931,0.08369731767673917,0.048038650234956674,0.04398142285331194,-0.9438491017920088,-0.7714419242070256,0.605,0.025531342514041076,0.07659402754212323,False
3.1034482758620694,-0.8652389230830834,-0.7811090543139184,0.08412986876916488,0.09470917702054275,0.04228363830038746,0.04835325046030278,-0.8758814252161123,-0.6863366834117247,0.605,-0.9074845830919988,-0.04224566000891504,0.058467694977429166,0.04202168409187209,0.03689239716519679,-0.9797936815357842,-0.835175484648213,0.695,0.999999999999939,1.0,False
3.8965517241379324,-0.8987040499885376,-0.7963081226118734,0.1023959273766648,0.1108387019700084,0.04096032569569923,0.0459216821765862,-0.8863146196779818,-0.7063016255457647,0.37,-0.9137824179222395,-0.015078367933701537,0.03978255986457219,0.03722564364694952,0.035395425999623455,-0.9831574528815017,-0.8444073829629781,0.89,1.0,1.0,False
4.689655172413794,-0.8939520370632758,-0.784969176323201,0.10898286074007515,0.1168011662207824,0.044012439628234166,0.0458781749502175,-0.8748903992256277,-0.6950479534207749,0.305,-0.8805226166412946,0.013429420421981333,0.04223583819718379,0.04326595930925917,0.040702158463502086,-0.9602988472297587,-0.8007463860528307,0.96,1.0,1.0,False
5.482758620689655,-0.8553979668453289,-0.7416551137287212,0.11374285311660862,0.12128152033812777,0.0463990832524108,0.048100234375089056,-0.8359315731038958,-0.6473786543535459,0.285,-0.8054199691397791,0.04997799770555034,0.06925009332786332,0.052592732380863344,0.05078425914512883,-0.9049571170642313,-0.7058828212153268,0.845,1.0,1.0,False
6.275862068965518,-0.7869169961520985,-0.6735971879980778,0.11331980815402115,0.12279195466206526,0.053867293226647794,0.05207893805521997,-0.7756719065863089,-0.5715224694098463,0.39,-0.6992073018734714,0.08770969427862693,0.10529831128265925,0.06403216232225199,0.06261255619817627,-0.8219279120218972,-0.5764866917250457,0.745,0.99999999999729,1.0,False
7.068965517241381,-0.694772612099495,-0.588389127920879,0.10638348417861683,0.11688894931857073,0.05650706457518746,0.05640614936814181,-0.6989451806824368,-0.477833075159321,0.515,-0.580111323764464,0.1146612883350318,0.13111685627802158,0.0690616377261898,0.07405329544925719,-0.7252557828450078,-0.4349668646839197,0.66,0.009683484760127406,0.03227828253375802,True
7.862068965517242,-0.5867449822602492,-0.4906048423496958,0.09614013991055367,0.10898190852445076,0.058662507651358886,0.060070397330888585,-0.6083428211182373,-0.3728668635811545,0.7,-0.44078929106815623,0.14595569119209353,0.16124052741736025,0.07454400960697805,0.08268524505873173,-0.6028523713832707,-0.2787262107530419,0.605,2.0058707657196977e-26,1.5044030742897733e-25,True
8.655172413793103,-0.47368267773560085,-0.40220014786298336,0.07148252987261752,0.08924108455261065,0.06053803240332871,0.06215339914703635,-0.5240208101911749,-0.28037948553479214,0.86,-0.31450618904560096,0.15917648868999992,0.1774482906857551,0.08294596136929004,0.08748933879006483,-0.48598529307412863,-0.1430270850170739,0.55,5.120538748772053e-45,7.680808123158079e-44,True
9.448275862068968,-0.3634628952052275,-0.31984139806367784,0.04362149714154984,0.07024668166106982,0.061340387468441504,0.06261637870331571,-0.4425695003221765,-0.197113295805179,0.955,-0.19732721607526352,0.16613567912996433,0.1855348309710584,0.08730010537203825,0.08827188573025778,-0.3703401121065687,-0.02431432004395828,0.56,1.297859321584873e-60,3.8935779647546192e-59,True
10.24137931034483,-0.26516663737415913,-0.2656218847985913,-0.0004552474244321662,0.055368562397135834,0.06198776524679599,0.061362060189370994,-0.38589152276975885,-0.14535224682742415,0.975,-0.1165041848390943,0.14866245253506474,0.168630363199411,0.08551462408739462,0.08468079833206099,-0.28247854956993385,0.04947017989174515,0.575,6.7611077525062655e-43,6.761107752506265e-42,True
11.03448275862069,-0.18533280629313367,-0.22993822961171395,-0.04460542331858032,0.06642393479761212,0.05457019721559268,0.05906202584852365,-0.3456998002748206,-0.11417665894860754,0.925,-0.07015469242650274,0.11517811386663084,0.13483903894766183,0.07524378853562678,0.0777718380947755,-0.22258749509226292,0.0822781102392573,0.73,4.520858201312018e-20,2.260429100656009e-19,True
11.827586206896552,-0.12391105607371715,-0.2046008443750319,-0.08068978830131467,0.09319240683484975,0.049529054232792406,0.056465827545644755,-0.3152738663644956,-0.09392782238556814,0.72,-0.0379817674912937,0.0859292885824234,0.10645714771900408,0.06667526179084239,0.06800531768603765,-0.1712721901559274,0.09530865517334003,0.82,0.09871249847009764,0.2692159049184481,False
12.620689655172413,-0.0792051663594238,-0.18992920824760634,-0.11072404188818251,0.11946855828395217,0.047094046475360245,0.05393023046928178,-0.29563245996739856,-0.08422595652781421,0.445,-0.025809716096730925,0.0533954502626929,0.07602750594578024,0.05747931688877081,0.05619930567494171,-0.13596035521961666,0.08434092302615483,0.895,0.9999999999999999,1.0,False
13.413793103448278,-0.049157957139001916,-0.17869571371216098,-0.1295377565731589,0.1363824260771906,0.044341618120101546,0.05184201416907965,-0.28030606148355697,-0.07708536594076465,0.27,-0.013916264620079465,0.0352416925189224,0.055593611955512184,0.04570070525180663,0.04619651488424726,-0.10446143379320412,0.07662890455304514,0.925,1.0,1.0,False
14.206896551724139,-0.029653783662841816,-0.17304923097464037,-0.1433954473117984,0.1497360640232657,0.04429069447535344,0.05024119577976214,-0.27152197470297407,-0.07457648724630657,0.14,-0.009474412497317451,0.020179371165524384,0.0437754756882155,0.040893582525742246,0.0366390847508931,-0.08128701860906794,0.062338193614433095,0.94,1.0,1.0,False
15.0,-0.016527269543209468,-0.16752952004388302,-0.1510022505006736,0.15621405105612818,0.04067848483383903,0.04900946266311048,-0.2635880668635796,-0.07147097322418641,0.085,-0.0023780164938276243,0.01414925304938183,0.031101724078879154,0.02942269280958209,0.028376988022003603,-0.057996913016954664,0.05324088002929943,0.965,1.0,1.0,False
